,fullname,id,likes,replies,retweets,text,timestamp,user
1199,khalid jamil kirmani,921198031596408832,0,0,0,In the Firing Line Again: Malala Criticized Over Jeans and Boots: https://sputniknews.com/viral/201710181058349138-malala-oxford-jeans-heels/ … via @SputnikInt,2017-10-20T02:15:00,KhalidKirmani
1200,Your Crush,921203596821065729,0,0,0,FYI: Malala Yousafzai trolled for 'wearing skinny jeans and high heels to Oxford http://dlvr.it/Pwd7P7 pic.twitter.com/P17V7c7oO8,2017-10-20T02:37:07,informnaijablog
1201,CESAR MANUEL,921204785017171969,0,0,0,"Malala, acosada en internet por vestir jeans y tacones http://a.msn.com/01/es-mx/AAtJXGZ?ocid=st …",2017-10-20T02:41:50,ECLIPSEMILENAR
1202,ياسمين,921207186268725248,0,0,0,@Malala love your style regardless of whether you’re in a salwar kameez or skinny jeans. What you have achieved transcends what you wear,2017-10-20T02:51:23,_stravolta
1203,capitalmexico.com.mx,921208856193073152,0,0,0,Supuesta foto de Malala con jeans se viraliza en redes sociales http://bit.ly/2hQDMPX pic.twitter.com/jIu6ZQK7vR,2017-10-20T02:58:01,CapitalMexico
1204,Rafaela,921214458000580608,0,0,0,"Qnd não há guerra, o homem faz questão de ter! que chatos! Malala, acosada en internet por vestir jeans y tacones http://a.msn.com/01/es-mx/AAtJXGZ?ocid=st … …",2017-10-20T03:20:16,rafaela_monara
1205,Teaba,921215021798928391,9,1,6,I logged onto FB for the first time today and there is a discussion about Malala wearing a coat w/jeans & boots to her first day of school pic.twitter.com/q5erHkpc4x,2017-10-20T03:22:31,teabakhan
1206,MSN Latino,921216433048059906,0,0,0,"Malala, acosada en internet por vestir jeans y tacones  https://www.msn.com/es-us/noticias/mundo/malala-acosada-en-internet-por-vestir-jeans-y-tacones/ar-AAtKpds?ocid=ob-tw-esus-683 …pic.twitter.com/j92pAxMtan",2017-10-20T03:28:07,msnlatino
1207,Social Network Newz,921221483791134721,0,0,0,Malala Yousafzai Targeted On #SocialMedia For Wearing ‘Skinny Jeans &amp; Heels’ At Oxford http://bit.ly/2xSJ8jK pic.twitter.com/D4wNZfEvgI,2017-10-20T03:48:11,SocialNet_Newz
1208,Emãn Öñ,921221964991205376,0,0,0,2 any1 shaming @Malala 4 wearing jeans. She took a bullet in her face 4 education. Ur criticism may b nothing more than chicken shit 4 her.,2017-10-20T03:50:06,H_Syed_ISB
1209,RadarSultengOnline,921222728421486594,0,0,0,"Malala Pakai Jeans, Pakistan Heboh http://radarsultengonline.com/2017/10/20/malala-pakai-jeans-pakistan-heboh/ …pic.twitter.com/e0gdDqFvsz",2017-10-20T03:53:08,RaSul_Online
1210,The Happy Times,921224537986834433,0,0,0,"Malala Yousafzai, Nobel Peace Prize Laureate, Starts at Oxford
http://ow.ly/GDXO30g030Y ",2017-10-20T04:00:20,TheSocialMvment
1211,Save Earth  🔺 🚗,921226412383600641,0,0,0,Malala going western style. Jeans n heels are tolerable for Muslim women https://twitter.com/HollywoodLife/status/920450638659702785 …,2017-10-20T04:07:46,_UnderWickedSky
1212,OccuWorld  ❌,921230615986368514,0,0,0,Malala Yousafzai Targeted On Social Media For Wearing ‘Skinny Jeans & Heels’ At Oxford http://www.occuworld.org/news/3715381 ,2017-10-20T04:24:29,OccuWorld
1213,marisol,921234035157843969,0,0,0,"Malala, acosada en internet por vestir jeans y tacones http://a.msn.com/01/es-mx/AAtJXGZ?ocid=st …",2017-10-20T04:38:04,marisolgalu
1214,capitalmexico.com.mx,921239053227278336,0,0,0,Supuesta foto de Malala con jeans se viraliza en redes sociales http://bit.ly/2hQDMPX pic.twitter.com/Ua862P4czh,2017-10-20T04:58:00,CapitalMexico
1215,Taqiyya&Taharrush,921263295218307072,0,0,0,"Malala Yousafzai targeted on social media for wearing ‘skinny jeans & heels’ at Oxford https://www.rt.com/uk/407181-malala-yousafzai-skinny-jeans/ …
Can't have it both ways!",2017-10-20T06:34:20,whyter2708
1216,David Lally,921265328511844352,1,0,0,Malala Yousafzai attacked on social media over ‘photo of her wearing jeans and heels’ http://www.telegraph.co.uk/news/2017/10/18/malala-yousafzai-attacked-social-media-photo-wearing-jeans-heels/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-10-20T06:42:25,David_Lally
