0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
19318,PakistanNews,9.13E+17,0,0,0,"Mahira Khan suffering from trauma, claims rumour http://www.pakistannews.ca/mahira-khan-suffering-from-trauma-claims-rumour/ …",2017-09-27T03:43:45,PakistanNewsCA,27/9/2017,3:43:45,0,0.496,0.504,-0.7096
19319,SUCH TV,9.13E+17,0,0,0,"#MahiraKhan suffering from trauma, claims rumour - SUCH TV https://shar.es/1VevIF ",2017-09-27T03:44:14,Suchtvnews,27/9/2017,3:44:14,0,0.457,0.543,-0.7096
19320,SUCH TV,9.13E+17,1,1,0,"تصاویر پر تنقید، ماہرہ خان ذہنی دباؤ کا شکار ہو کر بیمار ہو گئیں https://shar.es/1Vev82 
#MahiraKhan",2017-09-27T03:44:30,Suchtvnews,27/9/2017,3:44:30,0,0,1,0
19321,Tardos Times,9.13E+17,0,0,0,"Mahira Khan suffering from trauma, claims rumour pic.twitter.com/xvqHyQ7F7g",2017-09-27T03:45:26,Tardos_Times,27/9/2017,3:45:26,0,0.496,0.504,-0.7096
19322,DP News,9.13E+17,0,1,0,"Mahira Khan suffering from trauma, claims rumour http://www.diplomacypakistan.com/main-front/mahira-khan-suffering-from-trauma-claims-rumour/ …pic.twitter.com/3rcFe9HQKi",2017-09-27T03:46:03,DDPKnews,27/9/2017,3:46:03,0,0.457,0.543,-0.7096
19323,King-of-Ring,9.13E+17,0,0,0,"Mahira Khan suffering from trauma, claims rumour http://www.diplomacypakistan.com/main-front/mahira-khan-suffering-from-trauma-claims-rumour/ …pic.twitter.com/jJj9HORaBh",2017-09-27T03:46:06,savingprivately,27/9/2017,3:46:06,0,0.457,0.543,-0.7096
19324,Madiha,9.13E+17,1,1,0,"میں نے جب بھی خدا سے گزارش کی ہے
تیرے چہرے پر ہنسی کی سفارش کی ہے
@TheMahiraKhan Good Morning queen",2017-09-27T03:51:37,lovekhushi4,27/9/2017,3:51:37,0.127,0,0.873,0.4404
19325,HaniaAliSaeed,9.13E+17,5,0,1,"Jisne b lien, bohat acha kiya. #MahiraKhan & #Meera ka farq khatam kiya. Awien hwwa tha k mahira was stylish & beautiful. As cheap & ugly",2017-09-27T03:56:07,HaniaAliSaeed,27/9/2017,3:56:07,0.149,0.126,0.725,0.1531
19326,HaniaAliSaeed,9.13E+17,6,0,2,"Aurat chahe size 0 ki nangi ho ya size 12 ki. Nangi, nangi hi hoti hai. #MahiraKhan #ugly",2017-09-27T03:58:09,HaniaAliSaeed,27/9/2017,3:58:09,0,0,1,0
19327,HollyBollyBuzz,9.13E+17,0,0,0,Mahira Khan admits being STRESSED on the sets of Shah Rukh Khan’s Raees – watch video https://www.hindicage.com/news-gossip/mahira-khan-admits-being-stressed-on-the-sets-of-shah-rukh-khans-raees-watch-video/ …,2017-09-27T04:06:12,hollybollybuzz,27/9/2017,4:06:12,0.114,0.162,0.724,-0.2342
19328,GetNewViews,9.13E+17,0,0,0,"Mahira Khan suffering from trauma, claims rumour
For details please follow the link: https://goo.gl/FBmW1d ... http://fb.me/5Ji5mda8k ",2017-09-27T04:08:54,getnewsviews,27/9/2017,4:08:54,0.108,0.278,0.613,-0.5574
19329,Mohammed Umair Khan,9.13E+17,1,1,0,#NMA2 Aor #Saawan Ka Bhi Batadoo???,2017-09-27T04:10:46,Umair_K456,27/9/2017,4:10:46,0,0,1,0
19330,BreakingNewsPakistan,9.13E+17,0,0,0,"Mahira Khan suffering from trauma, claims rumour - https://breakingnewspak.com/mahira-khan-suffering-from-trauma-claims-rumour/ … #Pakistanpic.twitter.com/OA1UtPjRt6",2017-09-27T04:11:08,BreakingNewPak,27/9/2017,4:11:08,0,0.457,0.543,-0.7096
19331,Amara Shah,9.13E+17,4,3,1,"Those who were barking at #MahiraKhan, now are in deep slumber! https://twitter.com/etribune/status/912892567913713665 …",2017-09-27T04:15:12,ShahAmara_,27/9/2017,4:15:12,0,0,1,0
19332,Gul Bukhari,9.13E+17,3,2,0,Thank you!,2017-09-27T04:19:41,gulbukhari,27/9/2017,4:19:41,0.736,0,0.264,0.4199
19333,Narad Uwacha: 💐,9.13E+17,0,0,0,Can I know more about Zibran ? Heard him few times but could not figure out hus full name n whereabouts. Logical person.,2017-09-27T04:22:54,NaradUwacha,27/9/2017,4:22:54,0,0,1,0
19334,Bloggers,9.13E+17,1,0,0,Zarine Khan Reacts After Mahira Khan Is Trolled For Viral Pics With Ranbir Kapoor - NDTV : http://shor.tt/1TGi ,2017-09-27T04:31:17,ArticleBlogger,27/9/2017,4:31:17,0,0,1,0
19335,mehwish usman,9.13E+17,0,0,0,happy birthday to him..May he get success in his all life,2017-09-27T04:33:11,mehwishusman5,27/9/2017,4:33:11,0.451,0,0.549,0.8126
19336,Boxofficedetail,9.13E+17,2,0,0,Saawan is huge disaster with negligible numbers. Will update NMA 2 soon,2017-09-27T04:43:34,boxofficedetail,27/9/2017,4:43:34,0.149,0.266,0.584,-0.4215
19337,Faiq Riaz,9.13E+17,0,0,0,Gr8,2017-09-27T04:45:37,Faiqriaz8,27/9/2017,4:45:37,1,0,0,0.5719
19338, 🕋Imran Sheikh 🕋,9.13E+17,0,0,0,@MJibranNasir Also they wear decent dress home & abroad Thanks. #MahiraKhan over thinking injuries to health  https://twitter.com/mjibrannasir/status/911801505119956993 …,2017-09-27T04:46:17,ImranImvu,27/9/2017,4:46:17,0.162,0,0.838,0.4404
